ExecutionTime,CumulativeProbability
2.229,0.02
2.27,0.04
2.3,0.06
2.321,0.08
2.377,0.1
2.397,0.12
2.399,0.14
2.432,0.16
2.435,0.18
2.476,0.2
2.486,0.22
2.508,0.24
2.524,0.26
2.546,0.28
2.562,0.3
2.583,0.32
2.589,0.34
2.617,0.36
2.685,0.38
2.692,0.4
2.697,0.42
2.706,0.44
2.707,0.46
2.725,0.48
2.757,0.5
2.759,0.52
2.788,0.54
2.791,0.56
2.808,0.58
2.817,0.6
2.847,0.62
2.848,0.64
2.851,0.66
2.876,0.68
2.922,0.7
3.024,0.72
3.038,0.74
3.058,0.76
3.199,0.78
3.301,0.8
3.394,0.82
3.483,0.84
3.647,0.86
3.677,0.88
7.279,0.9
7.422,0.92
7.433,0.94
7.808,0.96
8.707,0.98
9.406,1.0
